Component/s;Component/s;Component/s;Reporter;Status;Issue Type;Issue key;Issue id;Inward issue link (Automation);Inward issue link (Blocker);Inward issue link (Blocker);Inward issue link (Blocker);Outward issue link (Blocker);Inward issue link (Cloners);Outward issue link (Cloners);Inward issue link (Detail);Outward issue link (Detail);Inward issue link (Development);Inward issue link (Duplicate);Outward issue link (Duplicate);Inward issue link (Finish-to-Start Dependency);Inward issue link (Finish-to-Start Dependency);Inward issue link (Finish-to-Start Dependency);Inward issue link (Fix);Outward issue link (Fix);Outward issue link (Implementation);Outward issue link (Links);Inward issue link (Problem/Incident);Outward issue link (Problem/Incident);Outward issue link (Problem/Incident);Inward issue link (Related To);Outward issue link (Related to);Inward issue link (Related);Inward issue link (Related);Outward issue link (Related);Inward issue link (Relates);Inward issue link (Relates);Inward issue link (Relates);Inward issue link (Relates);Inward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Outward issue link (Relates);Inward issue link (Test);Outward issue link (Test);Outward issue link (Test);Outward issue link (Test);Inward issue link (Validation);Inward issue link (Validation);Outward issue link (Validation);Summary;Sprint;Sprint;Sprint;Created;Custom field (QA ETA);Resolved;Custom field (Alpha Tested);Custom field (Alpha Validated);Custom field (Bug Type);Affects Version/s;Affects Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Custom field (TeamForBI);Custom field (API Name);Assignee;Custom field (Defect Type);TS tickets ID;priority
Integration Services;;;e1081270;Done;Story;FISCDSOL-87833;23401140;FISCDSOL-89419;;;;;;;;;;;;;;;;FISCDSOL-69196;;;;;;;;;;;;;;;;;;;;;;;;;;;Top day Trade Extract - Event Contracts Support ;2025.11.2.OB#T;;;15/09/2025 05:12;;21/11/2025 09:33;;;;202512.0.0-BRM;;202512.0.0-BRM;;;;OB#T;;e5675479;;;High
Integration Services;;;e5555967;Done;Bug;FISCDSOL-91306;24750126;;;;;;FISCDSOL-91782;;;;;;;;;;;;;;;;;;FISCDSOL-92771;;;;;;;;;;;;;;;;;;;;[TS 4144919] Top Day Trades Extract : Forward trades are not reported on their clearing date. ;2026.02.2.OB#T;;;26/01/2026 08:05;;27/Feb/26 3:44 AM;;;;202306.22.0;202512.1.0-BRM;202306.25.0;202512.2.0-BRM;202603.0.0-BRM;;OB#T;;e5617177;;1234541;Blocker
Integration Services;VS BRM;;e1081270;Done;Bug;FISCD-233076;25012024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top day trade extract - Premium/Cost field not populated for Event contract trades ;2026.03.1.OB#T;;;06/03/2026 04:45;;10/03/2026 05:38;;;;202512.1.0-BRM;202606.0.0-BRM;202512.2.0-BRM;202603.0.0-BRM;;;OB#T;;e5622350;;1234542;Blocker
Integration Services;;;e5555967;Done;Bug;FISCDSOL-14957;8569788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS 1547137 GMI Real Time Routing Extract: Fix PMKVAL on top day fully offset Trades;2020.06.3.OB#T;;;15/06/2020 00:00;;18/06/2020 00:00;;;;202004.5.0;202004.6.0;202004.8.0;202005.3.0;202006.0.0;202006.200.0;OB#T;;e5552652;;1234543;High
Integration Services;;;e1081270;Done;Story;FISCDSOL-66175;9101288;;;;;;FISCDSOL-66176;FISCDSOL-66150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top day Trade Extract - Add Linked Trade ID;2023.12.1.OB#T;;;31/Aug/23 10:02 AM;;24/11/2023 09:20;;;;;;202312.0.0;;;;OB#T;;e5715915;;;Low
Integration Services;;;e1079484;Done;Story;FISCDSOL-5580;8559387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CARGILL: Top day trades Export - XML Format;2019.09.1.IS;;;15/Aug/19 12:00 AM;;16/09/2019 00:00;;;;;;2019.8.1;2019.901.0;;;IS;;e5580177;;;Medium
Integration Services;;;e1079484;Done;Story;FISCDSOL-5398;8559198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[QA Validation] CARGILL: Top day trades Export - XML Format;2019.09.2.IS;;;16/09/2019 00:00;;27/09/2019 00:00;;;;;;;;;;IS;;e5558834;;;High
Integration Services;;;e5555967;Done;Story;FISCDSOL-4805;8558590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS 1352866/1352795/1351781 GMI Intra-Day Activity Extract - Spec Update/Rectification;2020.01.1.IS;;;13/Dec/19 12:00 AM;;30/Dec/19 12:00 AM;;;;;;;;;;IS;;e5580177;;;Low
Integration Services;;;e5566957;Done;Bug;FISCDSOL-49012;8670553;;;;;;;;FISCDSOL-46494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FISCDSOL-45023;FISCDSOL-45073;;[TS 2496993] Trade load from GMI CSV files from various carrying brokers must check for the last 5 business days and purge in IS must also be 5 business days;2022.11.2.TM#IS;;;18/10/2022 00:00;;07/11/2022 00:00;;;;202206.6.0;;202206.8.0;202209.3.0;202211.0.0;;TM#IS;;e5487654;;;High
Integration Services;;;e1081270;Done;Story;FISCDSOL-7930;8561897;;;;;;;;;;;;;;;;;;;;;;;;;;;;FISCDBRD-309;;;;;;;;;;;;;;;;Top Day Trades Extract : Add Account Owner field;2022.01.2.OB#T;;;15/Dec/21 12:00 AM;;28/01/2022 00:00;;;;;;202201.0.0;;;;OB#T;;e5608259;;;High
Integration Services;;;e1084409;Done;Bug;FISCDSOL-14164;8568985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[ARC]-[TS 1712536]: Cancels on Real Time & Intellimatch Activity Extracts;2020.12.1.HFT;;;13/11/2020 00:00;;26/11/2020 00:00;;;;;;202010.4.0;202011.1.0;202012.0.0;;HFT;;e1078262;;;High
Integration Services;;;e5555967;Done;Story;FISCDSOL-47523;8669044;;FISCDSOL-49689;;;;;FISCDSOL-47524;;FISCDSOL-50216;;;;;;;;;;;;;;;;;;;FISCDSOL-45875;;;;;;;;;;;;;;;;Top Day Trades Extract : Upgrade to Web Service Approach;2022.05.2.OB#T;;;10/Feb/22 12:00 AM;;13/May/22 12:00 AM;;;;;;202203.4.0;202205.0.0;;;OB#T;;e5608259;;;Medium
Integration Services;;;e5555967;Done;Story;FISCDSOL-68389;9359771;;FISCDSOL-74866;FISCDSOL-74867;FISCDSOL-76790;;FISCDSOL-69249;FISCDSOL-68385;;;;;;;;;;;;;;;;FISCD-161678;;;;;;;;;;;;;;;FISCDSOL-73874;FISCDSOL-74424;FISCDSOL-74411;;;;[New Charge Service] Upgrade Top day trades Extract - Fact;2024.08.2.OB#T;;;14/11/2023 08:54;;23/Aug/24 8:24 AM;;;;;;202408.0.0;;;;OB#T;;e5675479;;;High
Integration Services;;;E1079740;Done;Story;FISCDSOL-6427;8560268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[Grooming] CARGILL: Top Day Trade Extract;2019.07.2.IS;;;21/Feb/19 12:00 AM;;11/07/2019 00:00;;;;;;;;;;IS;;e1079484;;;Low
Integration Services;;;e5558834;Done;Bug;FISCDSOL-16607;8571451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top Day Trades Extract - duplicate trade types;2019.10.1.IS;;;08/10/2019 00:00;;08/10/2019 00:00;;;;;;2019.9.1;;;;IS;;e5580177;;;High
Integration Services;;;e5555967;Done;Story;FISCDSOL-61154;8752436;;;;;;FISCDSOL-63947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top Day Trades Extract : Enhance the XML Output;2023.10.1.OB#T;;;08/03/2023 07:23;;06/10/2023 10:06;;;;;;202310.0.0;;;;OB#T;;e5617177;;;High
Integration Services;;;e1081270;Done;Story;FISCDSOL-62139;8797296;;;;;;FISCDSOL-62140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Trade Consolidation- Top day trades Extract;2026.05.2.OB#T;;;04/Apr/23 8:09 AM;;25/May/26 11:13 AM;;;;TBC;;202606.0.0-BRM;;;;OB#T;;e5675479;;;Low
Integration Services;;;e5555967;Done;Bug;FISCDSOL-14958;8569789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS 1547137 / 1515365 GMI Intraday Activity Extract: Fix PMKVAL on top day fully offset Trades and adjust records generated after Trade Offsetting reversal;2020.06.3.OB#T;;;15/06/2020 00:00;;18/06/2020 00:00;;;;202004.5.0;202004.6.0;202004.8.0;202006.0.0;202006.200.0;;OB#T;;e5580177;;;High
Integration Services;;;E1079740;Done;Story;FISCDSOL-5687;8559499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[BUILD] CARGILL: Top Day Trade Extract - Part 2;2019.08.2.IS;;;20/07/2019 00:00;;19/Aug/19 12:00 AM;;;;;;;;;;IS;;e5566225;;;Lowest
Integration Services;;;e1081287;Done;Story;FISCDSOL-2244;8555882;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;As a user, I should be able to generate Top Day extract with correct snapshot for past dates (As at date);2020.11.2.OB#T;;;26/Aug/20 12:00 AM;;10/11/2020 00:00;;;;;;202008.0.0;202010.1.0;202011.0.0;;OB#T;;e1079460;;;Highest
Integration Services;;;e1079461;Done;Story;FISCDSOL-5809;8559627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[Test Automation] CARGILL E2E:Top Day Trade Extract;2019.10.1.Automation;;;26/06/2019 00:00;;14/10/2019 00:00;;;;;;2019.9.2;202008;202008.1;;Automation;;e5578377;;;Low
Integration Services;;;e5578377;Done;Story;FISCDSOL-5228;8559022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[Test Automation] CARGILL E2E:Top Day Trade Extract  Day2;2019.10.1.Automation;;;16/10/2019 00:00;;16/10/2019 00:00;;;;;;2019.9.2;202008;202008.1;;Automation;;e5578377;;;Medium
Integration Services;;;e1082606;Done;Story;FISCDSOL-3540;8557201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HFT : [Grooming] Generate real-time XML extract of daily activity for downstream purposes;2020.07.2.HFT;;;01/May/20 12:00 AM;;16/07/2020 00:00;;;;;;202007.0.0;;;;HFT;;e1075820;;;High
Integration Services;;;e1079484;Done;Bug;FISCDSOL-15265;8570100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cargill: Top day trades extract: Pending trades should be excluded;2020.05.2.OB#T;;;17/Apr/20 12:00 AM;;30/Apr/20 12:00 AM;;;;202003.2.0;;202003.4.0;202004.1.0;202005.0.0;202005.100.0;OB#T;;e5585183;;;High
Integration Services;;;e1079484;Done;Story;FISCDSOL-4747;8558530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TS1313214 Top day trades extract: Manage as of trades with clearing date prior to today;2020.01.1.IS;;;23/Dec/19 12:00 AM;;25/Dec/19 12:00 AM;;;;;;2019.9.8;;;;IS;;e5580177;;;Medium
Integration Services;;;e1079484;Done;Bug;FISCDSOL-16374;8571216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top day trade Extract - Counterparty account name should be extracted not the alias name;2019.10.2.IS;;;25/10/2019 00:00;;25/10/2019 00:00;;;;;;2019.9.4;;;;IS;;e5580177;;;High
Integration Services;;;e1079484;Done;Story;FISCDSOL-5231;8559025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Top day trades should be run at the conclusion of EOD;2019.10.2.IS;;;16/10/2019 00:00;;17/10/2019 00:00;;;;2019.9.1;;2019.101.0;2019.9.3;;;IS;;e5580177;;;Low
Integration Services;;;e1084409;Done;Story;FISCDSOL-11362;8565381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[ARC] : [DEV] : Add amendment/cancel logic to Real Time Activity Extract;2021.01.2.HFT;;;12/01/2021 00:00;;14/01/2021 00:00;;;;;;202010.5.0;202012.2.0;202101.0.0;;HFT;;e1078262;;;Medium
Integration Services;;;e5555967;Done;Story;FISCDSOL-3818;8557483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Extracted lines should have the same order on each run of the job of Top Day Trade Extract;2020.04.2.IS;;;30/03/2020 00:00;;03/Apr/20 12:00 AM;;;;202002.0.0;;202003.1.0;202004.0.0;202004.100.0;;IS;;e5580177;;;Lowest
Integration Services;;;e5556072;Done;Bug;FISCDSOL-67730;9276350;;;;;;;;;;;;;;;;;;;;FISCDSOL-45968;;;;;;;;;;;;;;;;;;;;;;;;Top Day Trades Extract - OTE is not extracted for As At scenario when trade is updated in another business date;2023.11.2.OB#T;;;25/10/2023 06:33;;17/11/2023 09:25;;;;202306.6.0;;202306.8.0;202311.0.0;;;OB#T;;e5675479;;;High
Integration Services;;;e5614398;Done;Story;FISCDSOL-45968;8667237;;;;;;;;;;;;;;;;;;;;;FISCDSOL-67730;;;;;;;;;;;;;;;;;;;;;;;Update EOD Activity Extract and Top Day trade extract to use DM_UNREALIZEDPNL_HISTORY;2022.07.1.OB#T;;;24/06/2022 00:00;;30/06/2022 00:00;;;;202201.0.0;;202203.4.0;202207.0.0;;;OB#T;;e5614398;;;Low
Integration Services;;;e1081270;Done;Story;FISCDSOL-70000;10193632;;;;;;FISCDSOL-70185;FISCDSOL-69196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[202306.X] Top Day Trades Extract - Fix Product Currency field;2024.03.2.OB#T;;;09/01/2024 08:31;;22/03/2024 10:56;;;;;;202306.14.0;;;;OB#T;;e5617177;;;Medium
Integration Services;;;e5557712;Done;Task;FISCDSOL-65584;9064343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Update job_output_reconciliation.conf with Account Attributes and Aliases columns in the matching section;2023.08.1.OB#T;;;10/Aug/23 6:16 AM;;11/Aug/23 12:04 PM;;;;;;202307.1.0;202308.0.0;;;OB#T;;e5557712;;;High
Integration Services;Integration Services TC;;e5548683;Done;Story;FISCDSOL-71173;13471878;;;;;;;;;;;;;;;;;;;FISCDSOL-75405;;;;;;;;;;;;;;;;;;;;;;FISCDSOL-74156;;;[2974229] Barclays - Full Service GI GU report - Show only top day business for each business day to ensure correct information is provided in a weekly report;2024.06.1.TM#IS;;;14/Feb/24 1:30 AM;;27/May/24 6:23 AM;;;;202212.7.0;;202312.6.0;202406.0.0;;;TM#IS;;e5686349;;;Low
Integration Services;;;e5558834;Done;Story;FISCDSOL-4532;8558204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[Automation] Top Day, EOD Activity Extract, daily and monthly reports: additional reversal offsetting scenarios;2020.02.1.Automation;;;21/01/2020 00:00;;24/01/2020 00:00;;;;2019.9.9;;2019.9.10;202008;202008.1;;Automation;;e5558834;;;Medium
Integration Services;;;e1081270;Done;Story;FISCDSOL-63079;8845416;;;;;;FISCDSOL-63187;FISCDSOL-46027;;;;;;;;;;;;;;FISCDSOL-63469;FISCDSOL-64534;;;;;FISCDSOL-64658;;;;;;;;;;;;;;;;;New Component to Manage the multiple Value Field aliases for Master Account;2023.05.2.OB#T;;;03/May/23 8:32 AM;;17/May/23 3:55 AM;;;;;;202305.0.0;;;;OB#T;;e5617177;;;High
Integration Services;;;e5556072;Done;Story;FISCDSOL-5054;8558843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Change the name of Top Day Trade Extract class and Talend items from ""XMLTopDayTradeExtract"" to ""TopDayTradeExtract""";2019.11.2.IS;;;07/11/2019 00:00;;21/11/2019 00:00;;;;;;2019.9.6;;;;IS;;e5585183;;;Low
Integration Services;;;e1081270;Done;Story;FISCDSOL-45943;8667209;;;;;;;FISCDSOL-46035;;;;;;;;;;;;;;;;;;;;;FISCDSOL-45217;FISCDSOL-45708;FISCDSOL-45607;FISCDSOL-45606;FISCDSOL-45829;FISCDSOL-49451;;;;;;;;;;;IH data Simulator /Loader - Loading of Trades and Top Day Offset;2022.07.3.OB#T;;;29/06/2022 00:00;;29/07/2022 00:00;;;;;;202209.0.0;;;;OB#T;;e5622350;;;Medium
